;56258
Stapper was als stedenbouwkundig architect in dienst van het RDMZ waar hij tussen 1947 en 1977 historische kaarten tekende van veel verschillende dorpen, steden en wijken in Nederland.;85
Tekenaar;16
Tekenaar SHBO ?;9
Tekenaar opmetingsschetsen;1
Volgens een schrijven van hem van 20 maart 2020 heeft L.H. Boot gewerkt voor de RDMZ van 1962 - 1970).;70
Waardenburg;1
Wageningen;309
Walter Kramer;2
"Zijn collectie is aangekocht door de RCE en alle rechten liggen bij de RCE (contract zelf is niet bij de RCE terug te vinden, wel mailwisseling over de betaling) de rekening
Antoon Peter (Anton) Sipman (Anna Paulowna, 17 oktober 1906 – Nijmegen, 11 januari 1985) was een Nederlands molendeskundige, schrijver en tekenaar.

Hij werd geboren als boerenzoon in de Noord-Hollandse Anna Paulownapolder. Na het doorlopen van de hbs ging hij studeren aan de tekenacademie en in augustus 1929 haalde hij zijn middelbare akte MA-tekenen. Anton Sipman werkte als tekenleraar in Alkmaar en later in Arnhem. Eind jaren '20 kreeg hij een sterke belangstelling voor molens en vanaf 1934 besteedde hij bijna al zijn vrije tijd aan het tekenen van zowel het binnenwerk als de buitenkant van molens.[1]

Bij de herbouw van de Zaanse molen Het Jonge Schaap is gebruikgemaakt van gedetailleerde tekeningen die Sipman voor de afbraak van de originele molen in 1942 had gemaakt. Na zijn pensionering heeft hij meerdere boeken geschreven over molens waarin zijn tekeningen een belangrijke plaats innemen.";2
Zoon van Herman van der Kloot Meijburg.;17
archeologie;1
architect B.N.A.;1
ca. 1890 - ?. Nederlands bouwkundige, fotograaf en later docent aan de Academie van Beeldende Kunsten en Technische Wetenschappen te Rotterdam. In de jaren 1900 en 1910 werkte hij als bouwkundige tekenaar en onderwerper. In de jaren 1920 en 1930 was hij werkzaam was voor de toenmalige Rijksdienst voor het Cultureel Erfgoed, en daarna als docent van de Rotterdamse Academie. ;1
"dr. ing. Hendrik (Henk) Jacob Zantkuijl - bouwhistoricus, efgoedspecialist en oud-docent aan de TU van Delft.
Geboren in Utrecht";5
maritiem archeoloog;16
mede-oprichter SHBO;80
medewerkers SHBO;2
orgeldeskundige;1
projectleider bij Van Hoogevest Architecten sinds 1975;1
staat 2x in het systeem;7
tekenaar Openluchtmuseum Arnhem;1
tekenaar en architect in dienst van RDMZ;174
tekenaar opmetingsschetsen;1
tekenaars opmetingsschetsen;1
veel foto's voor SHBO;957
voorheen in dienst bij Rijksdienst voor de IJsselmeerpolders;293
voorheen medewerker NISA;183
voorheen medewerker Nisa;4
voorheen medewerker Rijksdienst voor de IJsselmeerpolders.;32
werkte bij een van de voorgangers van de RCE (RDMZ);541
zit 2x in het systeem;131
