kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
Voorkomen N Europa;2956;Hogere_planten;0;0;0;1421;6;0.0;False;0;0;0;1142;0;0;0;0;0;279;0;1;4;false;false;;
Voorkomen W Europa;2956;Hogere_planten;0;0;0;1421;6;0.0;False;0;0;0;1342;0;0;0;0;0;79;0;1;4;false;false;;
Voorkomen O Europa;2956;Hogere_planten;0;0;0;1421;6;0.0;False;0;0;0;1266;0;0;0;0;0;155;0;1;4;false;false;;
Voorkomen ZO Europa;2956;Hogere_planten;0;0;0;1421;6;0.0;False;0;0;0;1304;0;0;0;0;0;117;0;1;4;false;false;;
Voorkomen Z Europa;2956;Hogere_planten;0;0;0;1421;6;0.0;False;0;0;0;1147;0;0;0;0;0;274;0;1;4;false;false;;
Voorkomen Holarctis;2956;Hogere_planten;0;0;0;1422;5;0.0;False;0;0;0;0;0;0;0;0;0;1422;0;0;4;false;false;;
Voorkomen Amerika;2956;Hogere_planten;0;0;0;1422;2;0.0;False;0;0;0;0;0;0;0;0;0;1422;0;0;4;false;false;;
Voorkomen Europa;2956;Hogere_planten;0;0;0;1422;2;0.0;False;0;0;0;0;0;0;0;0;0;1422;0;0;4;false;false;;
Voorkomen Azi ;2956;Hogere_planten;0;0;0;1422;2;0.0;False;0;0;0;0;0;0;0;0;0;1422;0;0;4;false;false;;
Bron Geogr 1;2956;Hogere_planten;0;0;0;1422;7;0.0;False;0;0;0;1422;0;0;0;0;0;0;0;1;4;false;false;;
Bron Geogr 2;2956;Hogere_planten;0;0;0;994;5;0.01;False;0;0;0;994;0;0;0;0;0;0;0;1;4;false;false;;
Bron Geogr 3;2956;Hogere_planten;0;0;0;385;4;0.01;False;0;0;0;385;0;0;0;0;0;0;0;1;4;false;false;;
Bron Geogr 4;2956;Hogere_planten;0;0;0;51;2;0.04;False;0;0;0;51;0;0;0;0;0;0;0;1;4;false;false;;
Noot Geogr 0;2956;Hogere_planten;0;0;0;1422;13;0.01;False;0;0;0;0;0;0;0;0;0;1422;0;0;4;false;false;;
Noot Geogr 1;2956;Hogere_planten;0;0;0;411;11;0.03;False;0;0;0;0;0;0;0;0;0;411;0;0;4;false;false;;
Hoogtegordel;2956;Hogere_planten;0;0;0;1554;8;0.01;False;0;0;0;0;0;0;0;0;0;1554;0;0;4;false;false;;
Noot Geogr 2;2956;Hogere_planten;0;0;0;103;9;0.09;False;0;0;0;0;0;0;0;0;0;103;0;0;4;false;false;;
Noot Geogr 3;2956;Hogere_planten;0;0;0;16;4;0.25;False;0;0;0;0;0;0;0;0;0;16;0;0;4;false;false;;
Noord Zuid as;2956;Hogere_planten;0;0;0;1310;14;0.01;False;0;0;0;0;0;0;0;0;0;1310;0;0;4;false;false;;
Oost West as;2956;Hogere_planten;0;0;0;1310;15;0.01;False;0;0;0;0;0;0;0;0;0;1310;0;0;4;false;false;;
Oecologische groep;2956;Hogere_planten;0;0;0;1643;48;0.03;False;0;0;0;5;0;0;0;0;380;1258;0;1;4;false;false;;
Ecologische groep;2956;Hogere_planten;0;0;0;1449;81;0.06;False;0;0;0;1446;0;0;0;0;0;3;0;3;4;false;false;;
Ecotoop 1;2956;Hogere_planten;0;0;0;1766;81;0.05;False;0;0;0;0;0;0;0;0;0;1766;0;0;5;false;false;;
Ecotoop 2;2956;Hogere_planten;0;0;0;1012;78;0.08;False;0;0;0;0;0;0;0;0;0;1012;0;0;5;false;false;;
Ecotoop 3;2956;Hogere_planten;0;0;0;449;66;0.15;False;0;0;0;0;0;0;0;0;0;449;0;0;5;false;false;;
Ecotoop 4;2956;Hogere_planten;0;0;0;250;48;0.19;False;0;0;0;0;0;0;0;0;0;250;0;0;4;false;false;;
Ecotoop 5;2956;Hogere_planten;0;0;0;122;39;0.32;False;0;0;0;0;0;0;0;0;0;122;0;0;4;false;false;;
Ecotoop 6;2956;Hogere_planten;0;0;0;76;29;0.38;False;0;0;0;0;0;0;0;0;0;76;0;0;4;false;false;;
Ecotoop 7;2956;Hogere_planten;0;0;0;37;20;0.54;False;0;0;0;0;0;0;0;0;0;37;0;0;4;false;false;;
Ecotoop 10;2956;Hogere_planten;0;0;0;2;2;1.0;False;0;0;0;0;0;0;0;0;0;2;0;0;4;false;false;;
Ecotoop 8;2956;Hogere_planten;0;0;0;16;10;0.62;False;0;0;0;0;0;0;0;0;0;16;0;0;4;false;false;;
Ecotoop 9;2956;Hogere_planten;0;0;0;10;7;0.7;False;0;0;0;0;0;0;0;0;0;10;0;0;4;false;false;;
Ecotoop amplitudo;2956;Hogere_planten;0;0;0;1766;2;0.0;False;0;0;0;1766;0;0;0;0;0;0;0;1;4;false;false;;
Vegetatie Ellenberg;2956;Hogere_planten;0;0;0;1644;210;0.13;False;0;0;0;1641;0;0;0;0;0;3;0;5;4;false;false;;
Vegetatie Westhoff;2956;Hogere_planten;0;0;0;1114;299;0.27;False;0;0;0;91;0;0;0;0;38;985;0;2;6;false;false;;
Vegetatie Westhoff*;2956;Hogere_planten;0;0;0;1114;8;0.01;False;0;0;0;1114;0;0;0;0;0;0;0;1;4;false;false;;
Bestuiving 1;2956;Hogere_planten;0;0;0;1709;14;0.01;False;0;0;0;0;0;0;0;0;0;1709;0;0;4;false;false;;
Bestuiving 2;2956;Hogere_planten;0;0;0;363;8;0.02;False;0;0;0;0;0;0;0;0;0;363;0;0;4;false;false;;
Bestuiving 3;2956;Hogere_planten;0;0;0;17;5;0.29;False;0;0;0;0;0;0;0;0;0;17;0;0;4;false;false;;
Zelfbestuiving;2956;Hogere_planten;0;0;0;733;1;0.0;False;0;0;0;0;0;0;0;0;0;733;0;0;4;false;false;;
Carnivoor;2956;Hogere_planten;0;0;0;2060;2;0.0;False;0;0;0;2060;0;0;0;0;0;0;0;1;4;false;false;;
Wortelknolletje;2956;Hogere_planten;0;0;0;2741;2;0.0;False;0;0;0;2741;0;0;0;0;0;0;0;1;4;false;false;;
Levensvorm 1;2956;Hogere_planten;0;0;0;2136;9;0.0;False;0;0;0;0;0;0;0;0;0;2136;0;0;4;false;false;;
Groeivorm simpel;2956;Hogere_planten;0;0;0;2198;8;0.0;False;0;0;0;0;0;0;0;0;0;2198;0;0;4;false;false;;
Levensvorm 2;2956;Hogere_planten;0;0;0;358;11;0.03;False;0;0;0;0;0;0;0;0;0;358;0;0;4;false;false;;
Levensvorm 3;2956;Hogere_planten;0;0;0;23;6;0.26;False;0;0;0;0;0;0;0;0;0;23;0;0;4;false;false;;
Groeivorm 1;2956;Hogere_planten;0;0;0;2745;31;0.01;False;0;0;0;2745;0;0;0;0;0;0;0;2;4;false;false;;
Anatom bouw 1;2956;Hogere_planten;0;0;0;1370;6;0.0;False;0;0;0;1370;0;0;0;0;0;0;0;1;4;false;false;;
Groeivorm 2;2956;Hogere_planten;0;0;0;116;23;0.2;False;0;0;0;116;0;0;0;0;0;0;0;2;4;false;false;;
Groeivorm 3;2956;Hogere_planten;0;0;0;8;6;0.75;False;0;0;0;8;0;0;0;0;0;0;0;2;4;false;false;;
Anatom bouw 2;2956;Hogere_planten;0;0;0;530;6;0.01;False;0;0;0;530;0;0;0;0;0;0;0;1;4;false;false;;
Hoogte min;2956;Hogere_planten;0;0;0;2023;40;0.02;False;0;0;0;2023;0;0;0;0;0;0;0;4;4;false;false;;
Hoogte max;2956;Hogere_planten;0;0;0;2091;65;0.03;False;0;0;0;2091;0;0;0;0;0;0;0;4;4;false;false;;
Bladseizoen;2956;Hogere_planten;0;0;0;1773;4;0.0;False;0;0;0;0;0;0;0;0;0;1773;0;0;4;false;false;;
