tabel_naam;kolom_aantal;kolom_lijst;record_aantal;database_naam
Plakfouten ADC 2e ronde;10;"[""F1"", ""F2"", ""F3"", ""F4"", ""F5"", ""F6"", ""F7"", ""F8"", ""F9""]";46;radar
Plakfouten PLANTS ADC;10;"[""Sample nr"", ""Name"", ""Id_level"", ""Part preserved"", ""Pres mode"", ""Quantification"", ""Min_numb"", ""Max_numb"", ""Remarks""]";601;radar
Plakfouten plants BIAX;11;"[""Sample nr"", ""Name"", ""Id_level"", ""Part preserved"", ""Pres mode"", ""Quantification"", ""Min_numb"", ""Max_numb"", ""Remarks"", ""BIAX_ID""]";3850;radar
Plakfouten PLANTS BIAX nw;11;"[""Sample nr"", ""Name"", ""Id_level"", ""Part preserved"", ""Pres mode"", ""Quantification"", ""Min_numb"", ""Max_numb"", ""Remarks"", ""BIAX_ID""]";3845;radar
Plakfouten sites ADC;17;"[""Report nr"", ""Site nr"", ""Plaats"", ""Toponiem"", ""X-coordinate"", ""Y-coordinate"", ""Archis wnr"", ""Archis omnr"", ""Regio_ID"", ""Prov"", ""Complextype"", ""Cultural period"", ""Begin date"", ""End date"", ""Remarks"", ""BIAX_ID""]";7;radar
PLANTS;11;"[""Sample nr"", ""Name"", ""Id_level"", ""Part preserved"", ""Pres mode"", ""Quantification"", ""Min_numb"", ""Max_numb"", ""Remarks"", ""BIAX_ID""]";229909;radar
Pres_mode;3;"[""Pres mode"", ""Description""]";6;radar
REPORTS;25;"[""Publicatienummer"", ""Author 1"", ""Author 2"", ""Author 3"", ""Author 4"", ""Author 5"", ""Meer dan 5 auteurs"", ""Overige auteurs"", ""Redactie"", ""Jaar"", ""Artikel_titel"", ""Boektitel"", ""Periodiek"", ""Deel"", ""Paginanummers"", ""Plaats van uitgave"", ""Uitgever"", ""Status"", ""URL of DOI"", ""PDF bij Otto"", ""Plaatsingscode bibliotheek"", ""BIAX_ID"", ""Onderzoeksinstantie"", ""Onderzoeker""]";1180;radar
Sample_type;3;"[""Sample type"", ""Description""]";13;radar
SAMPLES;8;"[""Feature nr"", ""Sample nr"", ""Sample code"", ""Sample type"", ""Sample volume"", ""Remarks"", ""BIAX_ID""]";11159;radar
Site_type;3;"[""Site type code"", ""Description""]";30;radar
SITES;17;"[""Report nr"", ""Site nr"", ""Plaats"", ""Toponiem"", ""X-coordinate"", ""Y-coordinate"", ""Archis wnr"", ""Archis zaaknr"", ""Regio_ID"", ""Prov"", ""Complextype"", ""Cultural period"", ""Begin date"", ""End date"", ""Remarks"", ""BIAX_ID""]";1476;radar
Synonyms;3;"[""Synoniem"", ""Naam in RADAR""]";461;radar
Taxa;7;"[""Name"", ""Gebruiksplant"", ""Nederlands"", ""Nummer_code"", ""Engels"", ""Duits""]";4040;radar
Taxa thesaurus ArnoldsvdM;18;"[""Nummer_code"", ""REGNUM"", ""PHYLUM"", ""KLASSE"", ""ORDE"", ""FAMILIE"", ""Name Thesauruslijst"", ""Synoniem"", ""Arnolds_VanderMaarel"", ""Categorie gebruiksplant"", ""Gebruiksplant/Houtig/Struik/Liaan"", ""Nederlands"", ""Veld12"", ""Engels"", ""Duits"", ""Franse naam"", ""Veld16""]";3619;radar
WESTHOFF;3;"[""NAME"", ""WESTHOFF""]";2792;radar
